Rank,Song,Artist,Year,Lyrics,Source,Label,Ownership
76,you made me believe in magic,bay city rollers,1977,i believed that love has gone have no strength to carry on thought my world was upside down then you walked on into my life i went to work to set things right whats the secret that you that you used you made me believe in magic you know that i can be true to your love you made me believe in magic your loves put real magic into my lifenow i am filled with a new sense to be you gave my life harmony loving you is all i all i need,1,Romantic,Anusha
80,love so right,bee gees,1977,she came on like the night and she held on tight and the world was right when she made love to me we were free she moved in like a friend started loving me and i thought id found my heaven in her arms but the morning when i woke up i was here and she was gone now im hangin on maybe you can tell mehow a love so right can turn out to be so wrong oh my darling how a love so right can turn out to be so wrong oh my darling where did she go when i need her close to me and the perfect story ended at the start i thought you came forever and you came to break my heart now im hangin on on the chance that youll come back to me oh my love how a love so right can turn out to be so wrong oh my darling how a love so right can turn out to be so wrong oh my darling i could take it in my stride start living for the moment maybe half the things we sought were never there simply open up our eyes and break it down to size it isnt really fair how a love so right can turn out to be so wrong oh my darling how a love so right can turn out to be so wrong oh my darling how a love so right can turn out to be so wrong oh my darling,1,Romantic,Anusha
83,nobody does it better,carly simon,1977,nobody does it better makes me feel sad for the rest nobody does it half as good as you baby youre the best i wasnt lookin but somehow you found me i tried to hide from your love light but like heaven above me the spy who loved me is keeping all my secrets safe tonight and nobody does it better though sometimes i wish someone could nobody does it quite the way you do whyd you have to be so good the way that you hold me whenever you hold me theres some kind of magic inside you that keeps me from runnin but just keep it comin howd you learn to do the things you do and nobody does it better makes me feel sad for the rest nobody does it half as good as you baby baby darling youre the best baby youre the best baby youre the best baby youre the best,1,Romantic,Anusha
85,loves grown deep,kenny nolan,1977,i love you so much somewhere back in time you became a friend of mine and day by day weve grown a little closer youre my spirit to be strong a friend when things go wrong so ive written down these words to let you know loves grown deep deep into the heart of me youve become a part of me let us plant the seed and watch it grow loves grown deep deep into the heart of me youve become a part of meas we travel down the road side by side well share the load hand in hand well see each other through though weve only just begun lets count our blessings one by one i thank god for life i thank god for you loves grown deep deep into the heart of me youve become a part of me let us plant the seed and watch it grow loves grown deep deep into the heart of me youve become a part of me and as the seasons slip away forever lovers we will stay together do or die with all our hearts loves grown deep deep into the heart of me youve become a part of me let us plant the seed and watch it grow loves grown deep deep into the heart of me youve become a part of me,1,Romantic,Anusha
87,i wanna get next to you,rose royce,1977,sittin here in this chair waitin on you oh baby to see things my way but not a word do you say you wont even look my way yeah girl im spending my dimes wasting my time talking till im black and blue oh cant you see i wanna get next to youdreams of you and i go sailing by whenever your eyes meet mine youre so fine and girl you make me feel so insecure youre so beautiful and pure why must you be unkind and tell me about your kind blowing my mind girl my my money is low and i know that i cant take you to the fancy places you might wanna go still i wanna get next to you i wanna get next to you baby yeah oh yeah girl you can bend me shake me make me whatever it takes to please you im willing to do cause youre my dream come true and i wanna get next to you babyi wanna get next to you i wanna get next to you i wanna get next to you,1,Romantic,Anusha
90,walk this way,aerosmith,1977,backstroke lover always hidin neath the cover till i talked to my daddy he say he said you aint seen noting till youre down on a muffin then youre sure to be a changin your ways i met a cheerleader was a real young bleeder all the times i can reminisce ah the best thing lovin with her sister and her cousin started with a little kiss like this seesaw swingin with the boys in the school with your feet flyin up in the air singin hey diddle diddle with the kitty in the middle you be swingin like you just didnt care so i took a big chance at the high school dance with a missy who was ready to play was it me she was foolin cause she knew what she was doin taught me how to walk this way she told me towalk this way walk this way walk this way walk this way walk this way walk this way walk this way walk this way ah just give me a kiss school girl sadie with the classy kinda sassy little skirt climbing way up her knees there was three young ladies in the school gym locker when i noticed they was lookin at me i was a high school loser never made it with a lady till the boys told me something i missed then my next door neighbour with a daughter had a favour took me just a little kiss like this seesaw swingin with the boys in the school with your feet flyin up in the air singin hey diddle diddle with the kitty in the middle you be swingin like you just didnt care so i took a big chance at the high school dance with a missy who was ready to play was it me she was foolin cause she knew what she was doin told me how to walk this way she told me to walk this way walk this way walk this way walk this way walk this way walk this way walk this way walk this way just give me a kiss,1,Romantic,Anusha
92,year of the cat,al stewart,1977,on a morning from a bogart movie in a country where they turn back time you go strolling through the crowd like peter lorre contemplating a crime she comes out of the sun in a silk dress running like a watercolor in the rain dont bother asking for explanations shell just tell you that she came in the year of the cat she doesnt give you time for questions as she locks up your arm in hers and you follow till your sense of which direction completely disappears by the blue tiled walls near the market stalls theres a hidden door she leads you to these days she says i feel my life just like a river running through the year of the catwhile she looks at you so cooly and her eyes shine like the moon in the sea she comes in incense and patchouli so you take her to find whats waiting inside the year of the cat well morning comes and youre still with her and the bus and the tourists are gone and youve thrown away your choice youve lost your ticket so you have to stay on but the drumbeat strains of the night remain in the rhythm of the newborn day you know sometime youre bound to leave her but for now youre going to stay in the year of the cat,1,Romantic,Anusha
96,dont worry baby,bj thomas,1977,well its been building up inside of me for oh i dont know how long i dont know why but i keep thinkin somethings bound to go wrong but she looks in my eyes and makes me realize when she says dont worry baby evrything will work out all right dont worry baby oo i guess i shoulda kept my mouth shut when i start to brag about my car but i cant back down now because i pushed the other guys too far she makes me come alive and makes me wanna drive when she says dont worry baby evrything will work out all right dont worry baby oo she said now baby when you race today just take along my love for you and if you knew how much i loved you baby nothing could go wrong with you oh what she does to me when she makes love to me and she says dont worry baby evrything will work out all right,5,Romantic,Anusha
98,how much love,leo sayer,1977,how much love do you need before you give your love to me how much time before it grows how much love i wanna know what can i do what can i say the last thing i want is to drive you away how much love does it take how much love for heavens sake how much love how much love do i rush right in or do i hesitate how much love how much love how much love am i trying too hard give me some kind of clue there must be a way to get through to you shall i come on strong or do i hesitate do i rush right in or do i wait how much love how much lovei got so much love dont know where to begin im pleading with you babe you gotta let me in how much love how much love i got so much love dont know where to beginhow much love do you need before you give yourself to me shall i come on strong or do i hesitate do i rush right in or do i waithow much love how much love,1,Romantic,Anusha
1,shadow dancing,andy gibb,1978,you got me looking at that heaven in your eyes i was chasing your direction i was telling you no lies and i was loving you when the words are said baby i lose my head and in a world of people theres only you and i there aint nothing come between us in the end how can i hold you when you aint even mine only you can see me through i leave it up to you do it light taking me through the night shadow dancing baby you do it right give me more drag me across the floor shadow dancing all this and nothing more all that i need is just one moment in your arms i was chasing your affection i was doing you no harm and i was loving you make it shine make it rain baby i know my way i need that sweet sensation of living in your love i cant breath when youre away it pulls me down you are the question and the answer am i only you can see me through i leave it up to you do it light taking me through the night shadow dancing baby you do it right give me more drag me across the floor shadow dancing all this and nothing more and in this world of people theres only you and i there aint nothing come between us in the end ah can i hold you when you aint even mine only you can see me through i leave it up to you do it light taking me through the night shadow dancing baby you do it right give me more drag me across the floor shadow dancing all this and nothing more do it light taking me through the night shadow dancing baby you do it right give me more drag me across the floor shadow dancing all this and nothing moredo it light taking me through the night shadow dancing baby you do it right give me more drag me across the floor shadow dancing all this and nothing more do it light taking me through the night shadow dancing baby you do it right give me more drag me across the floor shadow dancing all this and nothing moredo it light taking me through the night shadow dancing baby you do it right give me more drag me across the floor shadow dancing all this and nothing more,1,Romantic,Anusha
2,night fever,bee gees,1978,listen to the ground there is movement all around there is something goin down and i can feel iton the waves of the air there is dancin out there if its somethin we can share we can steal it and that sweet city woman she moves through the light controlling my mind and my soul when you reach out for me yeah and the feelin is right then i get night fever night fever we know how to do it gimme that night fever night fever we know how to show it here i am prayin for this moment to last livin on the music so fine borne on the wind makin it minenight fever night fever we know how to do it gimme that night fever night fever we know how to show it in the heat of our love dont need no help for us to make it gimme just enough to take us to the mornin i got fire in my mind i get higher in my walkin and im glowin in the dark i give you warnin and that sweet city woman she moves through the night controlling my mind and my soul when you reach out for me yeah and the feelin is right then i get night fever night fever we know how to do it gimme that night fever night fever we know how to show ithere i am prayin for this moment to last livin on the music so fine borne on the wind makin it minenight fever night fever we know how to do it gimme that night fever night fever we know how to show it gimme that night fever night fever we know how to do it gimme that night fever night fever we know how to show it gimme that night fever night fever we know how to do it,1,Romantic,Anusha
3,you light up my life,debby boone,1978,so many nights id sit by my window waiting for someone to sing me his song so many dreams ive kept deep inside me alone in the dark but now youve come along chorus and you light up my life you give me hope to carry onyou light up my days and fill my nights with song rolling at sea adrift on the waters could it be finally im turning for home finally a chance to say hey i love you never again to be all alone chorus x2 it cant be wrong when it feels so right cause you you light up my life,1,Romantic,Anusha
5,kiss you all over,exile,1978,when i get home babe gonna light your fire all day ive been thinkin about you babe youre my one desire gonna wrap my arms around you hold you close to me oh babe i want to taste your lips i want to fill your fantasy yeahi dont what id do without you babe dont know where id be youre not just another lover no youre everything to me everytime im with you baby i cant believe its true when youre layin in my arms n you do the things you do you can see it in my eyes i can feel it in your touch you dont have to say a thing just let me show how much i love you need you oh babei want to kiss you all over and over again i want to kiss you all over till the night closes in till the night closes in no one else can ever make me feel the way you do oh so keep on loving me baby and ill keep loving you well its easy to see when somethings right or somethings wrong so stay with me baby and hold me all night long show me show me everything you do cause baby no one does it quite like you i love you need you oh babe i wanna kiss you all over and over again i wanna kiss you all over till the night closes in till the night closes in stay with me lay with me holding me loving me baby here with me near with me feeling you close to me baby show me show me everything you do cause baby no one does it quite like you love you need you oh yeai wanna kiss you all over and over again i wanna kiss you all over till the night closes in till the night closes intill the night closes in wanna kiss you all over till the night closes in till the night closes in when i get home baby gonna light your fire,1,Romantic,Anusha
6,how deep is your love,bee gees,1978,i know your eyes in the morning sun i feel you touch me in the pouring rain and the moment that you wander far from me i want to feel you in my arms again and you come to me on a summer breeze keep me warm in your love then you softly leave and its me you need to showhow deep is your love how deep is your love how deep is your love i really mean to learn cause were living in a world of fools breaking us down when they all should let us be we belong to you and mei believe in you you know the door to my very soul youre the light in my deepest darkest hour youre my savior when i fall and you may not think i care for you when you know down inside that i really do and its me you need to show how deep is your love how deep is your love how deep is your love i really mean to learn cause were living in a world of fools breaking us down when they all should let us be we belong to you and meand you come to me on a summer breeze keep me warm in your love then you softly leave and its me you need to showhow deep is your love how deep is your love how deep is your love i really mean to learn cause were living in a world of fools breaking us down when they all should let us be we belong to you and me how deep is your love how deep is your love i really mean to learn cause were living in a world of fools breaking us down when they all should let us be we belong to you and mehow deep is your love how deep is your love i really mean to learn cause were living in a world of fools breaking us down when they all should let us be we belong to you and me,1,Romantic,Anusha
8,love is thicker than water,andy gibb,1978,love is higher than a mountain love is thicker than water you are this dreamers only dream heavens angel devils daughter save my mind should i go with her on silent nights shell drive me crazy in the end and i should leave this paradise but i cant leave her while i need her more than she needs you thats what im living forlove is higher than a mountain love is thicker than water you are this dreamers only dream heavens angel devils daughter save my thought should i find out she dont care at all shell leave me crying in the end wandering through the afterglow but i cant leave her while i need her more than she needs you thats what im praying for love is higher than a mountain love is thicker than water you are this dreamers only dream heavens angel devils daughter love is higher than a mountain love is thicker than water you are this dreamers only dream heavens angel devils daughter,1,Romantic,Anusha
10,three times a lady,commodores,1978,thanks for the times that youve given me the memories are all in my mind and now that weve come to the end of our rainbow theres something i must say out loudyoure once twice three times a lady and i love you yes youre once twice three times a lady and i love you i love you when we are together the moments i cherish with every beat of my heart to touch you to hold you to feel you to need you theres nothing to keep us apart youre once twice three times a lady and i love you i love you,1,Romantic,Anusha
11,grease,frankie valli,1978,i solve my problems and i see the light we gotta plug and think we gotta feed it right there aint no danger we can go to far we start believing now that we can be who we are grease is the word they think our love is just a growing pain why dont they understand its just a crying shame their lips are lying only real is real we start to find right now we got to be what we feelgrease is the word grease is the word is the word that you heard its got groove its got meaning grease is the time is the place is the motion grease is the way we are feeling we take the pressure and we throw away conventionality belongs to yesterday there is a chance that we can make it so far we start believing now that we can be wo we are grease is the word grease is the word is the word that you heard its got groove its got meaning grease is the time is the place is the motion grease is the way we are feeling this is the life of illusion wrapped up in trouble laced with confusion what we doing here we take the pressure and we throw away conventionality belongs to yesterday there is a chance that we can make it so far we start believing now that we can be who we are grease is the word grease is the word is the word that you heard its got groove its got meaning grease is the time is the place is the motion grease is the way we are feeling grease is the word is the word that you heard its got groove its got meaning grease is the time is the place is the motion grease is the way we are feeling grease is the word is the word is the word is the word is the word is the word is the word is the word is the word,1,Romantic,Anusha
12,i go crazy,paul davis,1978,hello girl its been awhile guess youll be glad to know that ive learned how to laugh and smile getting over you was slow they say old lovers can be good friends but i never thought id really see you id really see you again i go crazy when i look in your eyes i still go crazy no my heart just cant hide that old feelin inside way deep down inside oh baby you know when i look in your eyes i go crazy you say he satisfies your mind tells you all of his dreams i know how much that means to you i realize that i was blind just when i thought i was over you i see your face and it just aint true no it just aint true i go crazy when i look in your eyes i still go crazy that old flame comes alive it starts burning inside way deep down inside oh baby you know when i look in your eyes i go crazy oh oh oh oh oh i go crazy you know when i look in your eyes i go crazy no my heart just cant hide that old feelin inside way deep down inside i go crazy,3,Romantic,Anusha
15,lay down sally,eric clapton,1978,there is nothing that is wrong in wanting you to stay here with me i know youve got somewhere to go but wont you make yourself at home and stay with me and dont you ever leave lay down sally and rest you in my arms dont you think you want someone to talk to lay down sally no need to leave so soon ive been trying all night long just to talk to you the sun aint nearly on the rise and we still got the moon and stars above underneath the velvet skies love is all that matters wont you stay with me and dont you ever leavelay down sally and rest you in my arms dont you think you want someone to talk to lay down sally no need to leave so soon ive been trying all night long just to talk to you i long to see the morning light coloring your face so dreamily so dont you go and say goodbye you can lay your worries down and stay with me and dont you ever leave lay down sally and rest you in my arms dont you think you want someone to talk to lay down sally no need to leave so soon ive been trying all night long just to talk to youlay down sally and rest you in my arms dont you think you want someone to talk to lay down sally no need to leave so soon ive been trying all night long just to talk to you,1,Romantic,Anusha
